test,start_iso,end_iso,wall_s,energy_kwh,energy_j,emissions_kg,rc
RunLammps,2026-01-09T22:11:40.732288+00:00,2026-01-09T22:11:44.699118+00:00,3.966805,0.000004533,16.318,0.000000629,0
HelpMessage,2026-01-09T22:11:44.706685+00:00,2026-01-09T22:11:48.047245+00:00,3.340542,0.000002071,7.457,0.000000287,0
InvalidFlag,2026-01-09T22:11:48.053807+00:00,2026-01-09T22:11:51.368965+00:00,3.315139,0.000001757,6.324,0.000000244,0
Tokenizer,2026-01-09T22:11:51.379952+00:00,2026-01-09T22:11:54.734066+00:00,3.354098,0.000002071,7.455,0.000000287,0
MemPool,2026-01-09T22:11:54.741608+00:00,2026-01-09T22:11:58.032963+00:00,3.291289,0.000001622,5.839,0.000000225,0
LmpType,2026-01-09T22:11:58.036495+00:00,2026-01-09T22:12:01.338948+00:00,3.302438,0.000001658,5.970,0.000000230,0
NbodyBigint,2026-01-09T22:12:01.343031+00:00,2026-01-09T22:12:04.637779+00:00,3.294733,0.000001631,5.873,0.000000226,0
ArgUtils,2026-01-09T22:12:04.641860+00:00,2026-01-09T22:12:07.950492+00:00,3.308594,0.000001670,6.014,0.000000232,0
Utils,2026-01-09T22:12:07.953007+00:00,2026-01-09T22:12:11.272158+00:00,3.319134,0.000001845,6.643,0.000000256,0
Platform,2026-01-09T22:12:11.278354+00:00,2026-01-09T22:12:15.194621+00:00,3.916251,0.000011208,40.349,0.000001555,0
Lepton,2026-01-09T22:12:15.198832+00:00,2026-01-09T22:12:18.575312+00:00,3.376462,0.000002973,10.702,0.000000412,0
FmtLib,2026-01-09T22:12:18.579797+00:00,2026-01-09T22:12:21.906127+00:00,3.326309,0.000002014,7.250,0.000000279,0
JSON,2026-01-09T22:12:21.909030+00:00,2026-01-09T22:12:25.236145+00:00,3.327095,0.000002012,7.242,0.000000279,0
MathEigen,2026-01-09T22:12:25.239986+00:00,2026-01-09T22:12:28.505903+00:00,3.265877,0.000001116,4.017,0.000000155,0
FFT3D,2026-01-09T22:12:28.509842+00:00,2026-01-09T22:12:32.637357+00:00,4.127498,0.000014570,52.452,0.000002022,0
AtomStyles,2026-01-09T22:12:32.641789+00:00,2026-01-09T22:12:36.093034+00:00,3.451207,0.000004375,15.750,0.000000607,0
ImageFlags,2026-01-09T22:12:36.096013+00:00,2026-01-09T22:12:39.430641+00:00,3.334611,0.000002298,8.273,0.000000319,0
InputConvert,2026-01-09T22:12:39.434280+00:00,2026-01-09T22:12:42.775047+00:00,3.340728,0.000002251,8.103,0.000000312,0
MoleculeFile,2026-01-09T22:12:42.778790+00:00,2026-01-09T22:12:46.184908+00:00,3.406077,0.000003639,13.102,0.000000505,0
PairUnitConvert,2026-01-09T22:12:46.191110+00:00,2026-01-09T22:12:50.654116+00:00,4.462990,0.000020549,73.976,0.000002851,0
PotentialFileReader,2026-01-09T22:12:50.658205+00:00,2026-01-09T22:12:54.042843+00:00,3.384599,0.000003021,10.874,0.000000419,0
EIMPotentialFileReader,2026-01-09T22:12:54.046398+00:00,2026-01-09T22:12:57.380021+00:00,3.333581,0.000002255,8.119,0.000000313,0
TextFileReader,2026-01-09T22:12:57.387520+00:00,2026-01-09T22:13:00.735316+00:00,3.347781,0.000002191,7.887,0.000000304,0
FileOperations,2026-01-09T22:13:00.745656+00:00,2026-01-09T22:13:04.142094+00:00,3.396423,0.000003488,12.556,0.000000484,0
DumpAtom,2026-01-09T22:13:04.150716+00:00,2026-01-09T22:13:07.760655+00:00,3.609923,0.000006964,25.069,0.000000966,0
DumpAtomGZ,2026-01-09T22:13:07.764446+00:00,2026-01-09T22:13:11.292187+00:00,3.527726,0.000005959,21.452,0.000000827,0
DumpCustomGZ,2026-01-09T22:13:11.294552+00:00,2026-01-09T22:13:14.797916+00:00,3.503347,0.000005167,18.602,0.000000717,0
DumpCfgGZ,2026-01-09T22:13:14.801868+00:00,2026-01-09T22:13:18.274958+00:00,3.473075,0.000004714,16.972,0.000000654,0
