test,start_iso,end_iso,wall_s,energy_kwh,energy_j,emissions_kg,rc
RunLammps,2026-01-05T10:52:20.827827+00:00,2026-01-05T10:52:24.742053+00:00,3.914167,0.000004110,14.796,0.000000570,0
HelpMessage,2026-01-05T10:52:24.746795+00:00,2026-01-05T10:52:28.063159+00:00,3.316347,0.000001970,7.092,0.000000273,0
InvalidFlag,2026-01-05T10:52:28.067230+00:00,2026-01-05T10:52:31.348320+00:00,3.281049,0.000001513,5.446,0.000000210,0
Tokenizer,2026-01-05T10:52:31.352699+00:00,2026-01-05T10:52:34.654253+00:00,3.301526,0.000001643,5.914,0.000000228,0
MemPool,2026-01-05T10:52:34.657177+00:00,2026-01-05T10:52:37.929581+00:00,3.272385,0.000001447,5.209,0.000000201,0
LmpType,2026-01-05T10:52:38.020518+00:00,2026-01-05T10:52:41.299038+00:00,3.278497,0.000001462,5.262,0.000000203,0
NbodyBigint,2026-01-05T10:52:41.303926+00:00,2026-01-05T10:52:44.585967+00:00,3.282025,0.000001565,5.635,0.000000217,0
ArgUtils,2026-01-05T10:52:44.589652+00:00,2026-01-05T10:52:47.873981+00:00,3.284287,0.000001543,5.554,0.000000214,0
Utils,2026-01-05T10:52:47.877973+00:00,2026-01-05T10:52:51.155154+00:00,3.277140,0.000001636,5.891,0.000000227,0
Platform,2026-01-05T10:52:51.159048+00:00,2026-01-05T10:52:55.101880+00:00,3.942810,0.000011733,42.238,0.000001628,0
FmtLib,2026-01-05T10:52:55.106267+00:00,2026-01-05T10:52:58.391489+00:00,3.285182,0.000001653,5.950,0.000000229,0
JSON,2026-01-05T10:52:58.395557+00:00,2026-01-05T10:53:01.680573+00:00,3.284951,0.000001619,5.830,0.000000225,0
MathEigen,2026-01-05T10:53:01.689115+00:00,2026-01-05T10:53:04.939686+00:00,3.250555,0.000001176,4.235,0.000000163,0
FFT3D,2026-01-05T10:53:04.950462+00:00,2026-01-05T10:53:09.109039+00:00,4.158560,0.000013865,49.914,0.000001924,0
AtomStyles,2026-01-05T10:53:09.118266+00:00,2026-01-05T10:53:12.544405+00:00,3.426122,0.000004090,14.725,0.000000568,0
ImageFlags,2026-01-05T10:53:12.674576+00:00,2026-01-05T10:53:15.975336+00:00,3.300702,0.000001911,6.879,0.000000265,0
InputConvert,2026-01-05T10:53:15.979635+00:00,2026-01-05T10:53:19.289345+00:00,3.309671,0.000002041,7.346,0.000000283,0
MoleculeFile,2026-01-05T10:53:19.292858+00:00,2026-01-05T10:53:22.841115+00:00,3.548241,0.000005636,20.290,0.000000782,0
PairUnitConvert,2026-01-05T10:53:22.849807+00:00,2026-01-05T10:53:27.280166+00:00,4.430321,0.000020026,72.092,0.000002779,0
PotentialFileReader,2026-01-05T10:53:27.284830+00:00,2026-01-05T10:53:30.631873+00:00,3.347004,0.000002695,9.701,0.000000374,0
EIMPotentialFileReader,2026-01-05T10:53:30.635730+00:00,2026-01-05T10:53:33.938592+00:00,3.302824,0.000001946,7.007,0.000000270,0
TextFileReader,2026-01-05T10:53:33.943100+00:00,2026-01-05T10:53:37.233043+00:00,3.289905,0.000001865,6.715,0.000000259,0
FileOperations,2026-01-05T10:53:37.235663+00:00,2026-01-05T10:53:40.632700+00:00,3.396999,0.000003260,11.738,0.000000452,0
DumpAtom,2026-01-05T10:53:40.636833+00:00,2026-01-05T10:53:44.240961+00:00,3.604088,0.000006898,24.832,0.000000957,0
DumpCustom,2026-01-05T10:53:44.244813+00:00,2026-01-05T10:53:47.722785+00:00,3.477933,0.000004865,17.514,0.000000675,0
DumpCfg,2026-01-05T10:53:47.727036+00:00,2026-01-05T10:53:51.034102+00:00,3.307025,0.000002169,7.810,0.000000301,0
DumpLocal,2026-01-05T10:53:51.037844+00:00,2026-01-05T10:53:54.368494+00:00,3.330611,0.000002529,9.103,0.000000351,0
SimpleCommands,2026-01-05T10:53:54.371361+00:00,2026-01-05T10:53:59.243790+00:00,4.872412,0.000024519,88.270,0.000003402,0
LatticeRegion,2026-01-05T10:53:59.246269+00:00,2026-01-05T10:54:02.561073+00:00,3.314787,0.000002284,8.222,0.000000317,0
Groups,2026-01-05T10:54:02.563471+00:00,2026-01-05T10:54:05.868255+00:00,3.304768,0.000002086,7.510,0.000000289,0
Regions,2026-01-05T10:54:05.873729+00:00,2026-01-05T10:54:09.178565+00:00,3.304818,0.000001848,6.654,0.000000256,0
DeleteAtoms,2026-01-05T10:54:09.182428+00:00,2026-01-05T10:54:12.472061+00:00,3.289615,0.000001767,6.362,0.000000245,0
SetProperty,2026-01-05T10:54:12.480661+00:00,2026-01-05T10:54:15.785939+00:00,3.305259,0.000002008,7.228,0.000000279,0
Labelmap,2026-01-05T10:54:15.789766+00:00,2026-01-05T10:54:19.206970+00:00,3.417166,0.000001890,6.803,0.000000262,0
Variables,2026-01-05T10:54:19.211646+00:00,2026-01-05T10:54:22.559343+00:00,3.347657,0.000002757,9.927,0.000000383,0
KimCommands,2026-01-05T10:54:22.561933+00:00,2026-01-05T10:54:25.853890+00:00,3.291933,0.000001749,6.297,0.000000243,0
ResetAtoms,2026-01-05T10:54:25.858305+00:00,2026-01-05T10:54:29.208030+00:00,3.349686,0.000002635,9.487,0.000000366,0
ComputeGlobal,2026-01-05T10:54:29.212086+00:00,2026-01-05T10:54:32.546212+00:00,3.334085,0.000002245,8.082,0.000000311,0
ComputeChunk,2026-01-05T10:54:32.550349+00:00,2026-01-05T10:54:35.876245+00:00,3.325880,0.000002435,8.767,0.000000338,0
LibraryOpen,2026-01-05T10:54:35.878853+00:00,2026-01-05T10:54:39.165530+00:00,3.286661,0.000001744,6.278,0.000000242,0
