run_id,pr_number,changed_lines_mapped,status,coverable_changed_lines,random_energy_to_80cov_J,random_energy_to_90cov_J,random_energy_to_95cov_J,random_energy_to_100cov_J,greedy_cov_per_second_energy_to_80cov_J,greedy_cov_per_second_energy_to_90cov_J,greedy_cov_per_second_energy_to_95cov_J,greedy_cov_per_second_energy_to_100cov_J,greedy_cov_per_joule_energy_to_80cov_J,greedy_cov_per_joule_energy_to_90cov_J,greedy_cov_per_joule_energy_to_95cov_J,greedy_cov_per_joule_energy_to_100cov_J
20116243111,154,0,skip_no_changed_lines,0,,,,,,,,,,,,
20115724157,4805,10,ok,10,81744.40406666668,99650.1229666667,112441.16873333338,112441.16873333338,342.856,342.856,458.015,458.015,337.77099999999996,337.77099999999996,452.92999999999995,452.92999999999995
20113993054,4805,10,ok,10,81744.40406666668,99650.1229666667,112441.16873333338,112441.16873333338,342.856,342.856,458.015,458.015,337.77099999999996,337.77099999999996,452.92999999999995,452.92999999999995
20112348005,4805,10,ok,10,81744.40406666668,99650.1229666667,112441.16873333338,112441.16873333338,342.856,342.856,458.015,458.015,337.77099999999996,337.77099999999996,452.92999999999995,452.92999999999995
20111777977,154,0,skip_no_changed_lines,0,,,,,,,,,,,,
20108681550,4805,10,ok,10,81744.40406666668,99650.1229666667,112441.16873333338,112441.16873333338,342.856,342.856,458.015,458.015,337.77099999999996,337.77099999999996,452.92999999999995,452.92999999999995
20108008806,4789,178,ok,178,4046.3073333333323,10023.278166666667,44508.326566666685,121773.76073333339,122.816,257.28200000000004,614.679,1613.628,121.708,256.248,613.645,1612.594
20105555840,4789,178,ok,178,4046.3073333333323,10023.278166666667,44508.326566666685,121773.76073333339,122.816,257.28200000000004,614.679,1613.628,121.708,256.248,613.645,1612.594
20101180540,4789,178,ok,178,4046.3073333333323,10023.278166666667,44508.326566666685,121773.76073333339,122.816,257.28200000000004,614.679,1613.628,121.708,256.248,613.645,1612.594
20096818422,4779,8,ok,8,37726.47956666667,37726.47956666667,37726.47956666667,37726.47956666667,225.589,225.589,225.589,225.589,220.504,220.504,220.504,220.504
20096541647,4805,10,ok,10,81744.40406666668,99650.1229666667,112441.16873333338,112441.16873333338,342.856,342.856,458.015,458.015,337.77099999999996,337.77099999999996,452.92999999999995,452.92999999999995
20086124292,4805,10,ok,10,81744.40406666668,99650.1229666667,112441.16873333338,112441.16873333338,342.856,342.856,458.015,458.015,337.77099999999996,337.77099999999996,452.92999999999995,452.92999999999995
20085346258,154,0,skip_no_changed_lines,0,,,,,,,,,,,,
20083088236,4805,10,ok,10,81744.40406666668,99650.1229666667,112441.16873333338,112441.16873333338,342.856,342.856,458.015,458.015,337.77099999999996,337.77099999999996,452.92999999999995,452.92999999999995
20082933480,4802,0,skip_no_changed_lines,0,,,,,,,,,,,,
20082921553,154,0,skip_no_changed_lines,0,,,,,,,,,,,,
20082662048,154,0,skip_no_changed_lines,0,,,,,,,,,,,,
20082275622,154,0,skip_no_changed_lines,0,,,,,,,,,,,,
20080840527,154,0,skip_no_changed_lines,0,,,,,,,,,,,,
20079448519,4800,43,ok,43,45784.01873333334,52039.98030000001,91483.2479666667,139096.95436666667,352.158,352.158,352.158,588.288,335.469,335.469,451.35699999999997,691.8899999999999
20079159778,154,0,skip_no_changed_lines,0,,,,,,,,,,,,
20072137035,4800,43,ok,43,45784.01873333334,52039.98030000001,91483.2479666667,139096.95436666667,352.158,352.158,352.158,588.288,335.469,335.469,451.35699999999997,691.8899999999999
20072125825,154,0,skip_no_changed_lines,0,,,,,,,,,,,,
20070072810,3899,0,skip_no_changed_lines,0,,,,,,,,,,,,
20068399094,4779,8,ok,8,37726.47956666667,37726.47956666667,37726.47956666667,37726.47956666667,225.589,225.589,225.589,225.589,220.504,220.504,220.504,220.504
20068392273,4800,43,ok,43,45784.01873333334,52039.98030000001,91483.2479666667,139096.95436666667,352.158,352.158,352.158,588.288,335.469,335.469,451.35699999999997,691.8899999999999
20067826273,4789,178,ok,178,4046.3073333333323,10023.278166666667,44508.326566666685,121773.76073333339,122.816,257.28200000000004,614.679,1613.628,121.708,256.248,613.645,1612.594
20053007984,4779,8,ok,8,37726.47956666667,37726.47956666667,37726.47956666667,37726.47956666667,225.589,225.589,225.589,225.589,220.504,220.504,220.504,220.504
20046677145,4779,8,ok,8,37726.47956666667,37726.47956666667,37726.47956666667,37726.47956666667,225.589,225.589,225.589,225.589,220.504,220.504,220.504,220.504
20046654863,4800,43,ok,43,45784.01873333334,52039.98030000001,91483.2479666667,139096.95436666667,352.158,352.158,352.158,588.288,335.469,335.469,451.35699999999997,691.8899999999999
20016352659,4800,43,ok,43,45784.01873333334,52039.98030000001,91483.2479666667,139096.95436666667,352.158,352.158,352.158,588.288,335.469,335.469,451.35699999999997,691.8899999999999
20010857058,4802,0,skip_no_changed_lines,0,,,,,,,,,,,,
20010574938,4802,0,skip_no_changed_lines,0,,,,,,,,,,,,
20009911083,4800,43,ok,43,45784.01873333334,52039.98030000001,91483.2479666667,139096.95436666667,352.158,352.158,352.158,588.288,335.469,335.469,451.35699999999997,691.8899999999999
20009899438,4792,0,skip_no_changed_lines,0,,,,,,,,,,,,
20008925494,3764,97,ok,97,22794.987666666675,62877.320600000014,113939.90103333337,113939.90103333337,115.159,232.63600000000002,352.927,352.927,115.159,232.63600000000002,352.927,352.927
20008238894,3764,97,ok,97,22794.987666666675,62877.320600000014,113939.90103333337,113939.90103333337,115.159,232.63600000000002,352.927,352.927,115.159,232.63600000000002,352.927,352.927
19995486174,4800,43,ok,43,45784.01873333334,52039.98030000001,91483.2479666667,139096.95436666667,352.158,352.158,352.158,588.288,335.469,335.469,451.35699999999997,691.8899999999999
19992523114,4800,43,ok,43,45784.01873333334,52039.98030000001,91483.2479666667,139096.95436666667,352.158,352.158,352.158,588.288,335.469,335.469,451.35699999999997,691.8899999999999
19989934682,4792,0,skip_no_changed_lines,0,,,,,,,,,,,,
19989228464,3899,0,skip_no_changed_lines,0,,,,,,,,,,,,
19987688104,3899,0,skip_no_changed_lines,0,,,,,,,,,,,,
