run_id,pr_number,changed_lines_mapped,status,coverable_changed_lines,random_energy_to_80cov_J,random_energy_to_90cov_J,random_energy_to_95cov_J,random_energy_to_100cov_J,greedy_cov_per_second_energy_to_80cov_J,greedy_cov_per_second_suite_size_at_80cov,greedy_cov_per_second_energy_to_90cov_J,greedy_cov_per_second_suite_size_at_90cov,greedy_cov_per_second_energy_to_95cov_J,greedy_cov_per_second_suite_size_at_95cov,greedy_cov_per_second_energy_to_100cov_J,greedy_cov_per_second_suite_size_at_100cov,greedy_cov_per_joule_energy_to_80cov_J,greedy_cov_per_joule_suite_size_at_80cov,greedy_cov_per_joule_energy_to_90cov_J,greedy_cov_per_joule_suite_size_at_90cov,greedy_cov_per_joule_energy_to_95cov_J,greedy_cov_per_joule_suite_size_at_95cov,greedy_cov_per_joule_energy_to_100cov_J,greedy_cov_per_joule_suite_size_at_100cov
20116243111,154,0,skip_no_changed_lines,0,,,,,,,,,,,,,,,,,,,,
20115724157,4805,10,ok,10,81744.40406666668,99650.1229666667,112441.16873333338,112441.16873333338,342.856,3.0,342.856,3.0,458.015,4.0,458.015,4.0,337.77099999999996,3.0,337.77099999999996,3.0,452.92999999999995,4.0,452.92999999999995,4.0
20113993054,4805,10,ok,10,81744.40406666668,99650.1229666667,112441.16873333338,112441.16873333338,342.856,3.0,342.856,3.0,458.015,4.0,458.015,4.0,337.77099999999996,3.0,337.77099999999996,3.0,452.92999999999995,4.0,452.92999999999995,4.0
20112348005,4805,10,ok,10,81744.40406666668,99650.1229666667,112441.16873333338,112441.16873333338,342.856,3.0,342.856,3.0,458.015,4.0,458.015,4.0,337.77099999999996,3.0,337.77099999999996,3.0,452.92999999999995,4.0,452.92999999999995,4.0
20111777977,154,0,skip_no_changed_lines,0,,,,,,,,,,,,,,,,,,,,
20108681550,4805,10,ok,10,81744.40406666668,99650.1229666667,112441.16873333338,112441.16873333338,342.856,3.0,342.856,3.0,458.015,4.0,458.015,4.0,337.77099999999996,3.0,337.77099999999996,3.0,452.92999999999995,4.0,452.92999999999995,4.0
20108008806,4789,178,ok,178,4046.3073333333323,10023.278166666667,44508.326566666685,121773.76073333339,122.816,1.0,257.28200000000004,2.0,614.679,4.0,1613.628,6.0,121.708,1.0,256.248,2.0,613.645,4.0,1612.594,6.0
20105555840,4789,178,ok,178,4046.3073333333323,10023.278166666667,44508.326566666685,121773.76073333339,122.816,1.0,257.28200000000004,2.0,614.679,4.0,1613.628,6.0,121.708,1.0,256.248,2.0,613.645,4.0,1612.594,6.0
20101180540,4789,178,ok,178,4046.3073333333323,10023.278166666667,44508.326566666685,121773.76073333339,122.816,1.0,257.28200000000004,2.0,614.679,4.0,1613.628,6.0,121.708,1.0,256.248,2.0,613.645,4.0,1612.594,6.0
20096818422,4779,8,ok,8,37726.47956666667,37726.47956666667,37726.47956666667,37726.47956666667,225.589,2.0,225.589,2.0,225.589,2.0,225.589,2.0,220.504,2.0,220.504,2.0,220.504,2.0,220.504,2.0
