test,energy_j,wall_s,n_raw
AdvancedUtils,114.634,6.674559,1
AngleStyle_amoeba,644.679,17.2075,1
AngleStyle_charmm,716.851,18.800195,1
AngleStyle_class2,634.021,17.196218,1
AngleStyle_class2_p6,645.87,17.384305,1
AngleStyle_cosine,545.369,15.346152,1
AngleStyle_cosine_delta,848.98,21.535509,1
AngleStyle_cosine_periodic,785.785,19.994868,1
AngleStyle_cosine_shift,798.367,20.773937,1
AngleStyle_cosine_shift_exp,796.722,20.203898,1
AngleStyle_cosine_squared,919.496,22.607994,1
AngleStyle_cosine_squared_restricted,732.311,18.9848,1
AngleStyle_cross,708.608,20.930697,1
AngleStyle_dipole,813.413,20.524398,1
AngleStyle_fourier,713.018,18.782901,1
AngleStyle_fourier_simple,825.853,20.89122,1
AngleStyle_gaussian,754.586,21.170622,1
AngleStyle_harmonic,873.249,24.979491,1
AngleStyle_hybrid,528.282,15.044131,1
AngleStyle_lepton,1056.774,25.191643,1
AngleStyle_lepton_nooffset,1099.719,25.975707,1
AngleStyle_mm3,907.1,22.513987,1
AngleStyle_mwlc,598.632,16.671733,1
AngleStyle_quartic,737.777,19.052703,1
AngleStyle_spica,756.761,19.906944,1
AngleStyle_table_linear,909.331,22.586363,1
AngleStyle_table_spline,632.352,17.047551,1
AngleStyle_zero,801.951,20.310313,1
ArgUtils,45.721,5.870886,1
AtomStyles,225.637,9.581422,1
AtomicPairStyle_adp,309.179,10.640167,1
AtomicPairStyle_atm,173.164,7.971036,1
AtomicPairStyle_beck,126.178,6.910291,1
AtomicPairStyle_born,126.265,6.897971,1
AtomicPairStyle_born_gauss,120.398,6.830444,1
AtomicPairStyle_buck_coul_cut_qeq_point,133.026,7.074875,1
AtomicPairStyle_buck_coul_cut_qeq_shielded,126.137,6.964523,1
AtomicPairStyle_colloid,114.504,6.699358,1
AtomicPairStyle_colloid_multi,109.419,6.708865,1
AtomicPairStyle_colloid_multi_tri,115.199,6.735326,1
AtomicPairStyle_colloid_tiled,115.302,6.810245,1
AtomicPairStyle_colloid_tiled_tri,119.859,6.791936,1
AtomicPairStyle_eam,125.934,6.97822,1
AtomicPairStyle_eam_alloy,127.004,6.993062,1
AtomicPairStyle_eam_alloy_real,126.363,6.934429,1
AtomicPairStyle_eam_cd,128.381,7.386031,1
AtomicPairStyle_eam_cd_old,137.186,7.085151,1
AtomicPairStyle_eam_cd_real,128.114,7.395105,1
AtomicPairStyle_eam_fs,272.603,9.958972,1
AtomicPairStyle_eam_fs_real,226.621,9.217831,1
AtomicPairStyle_eam_he,127.04,7.317206,1
AtomicPairStyle_eam_he_real,138.599,7.62916,1
AtomicPairStyle_eam_real,120.55,6.868086,1
AtomicPairStyle_edip,127.891,7.394739,1
AtomicPairStyle_eim,125.823,6.93059,1
AtomicPairStyle_gauss,114.459,6.730093,1
AtomicPairStyle_hybrid-eam,120.014,6.840731,1
AtomicPairStyle_hybrid-eam_fs,233.967,9.377589,1
AtomicPairStyle_kim_lj,109.137,6.703218,1
AtomicPairStyle_lepton_sphere,139.6,7.557848,1
AtomicPairStyle_lj_cut_sphere,114.57,6.779398,1
AtomicPairStyle_lj_expand_sphere,114.68,6.738808,1
AtomicPairStyle_lj_relres,115.058,6.825098,1
AtomicPairStyle_meam,174.658,8.256375,1
AtomicPairStyle_meam_2nn,320.372,10.903689,1
AtomicPairStyle_meam_ms,126.586,6.976002,1
AtomicPairStyle_meam_sc,120.831,6.895336,1
AtomicPairStyle_meam_spline,132.098,7.379368,1
AtomicPairStyle_meam_sw_spline,121.402,7.001698,1
AtomicPairStyle_momb,119.637,6.768013,1
AtomicPairStyle_pedone,123.267,6.944462,1
AtomicPairStyle_polymorphic_eam,122.176,7.341948,1
AtomicPairStyle_reaxff,694.025,18.302834,1
AtomicPairStyle_reaxff-acks2,350.223,11.577354,1
AtomicPairStyle_reaxff-acks2_efield,136.748,7.132071,1
AtomicPairStyle_reaxff-qtpie,630.564,16.770411,1
AtomicPairStyle_reaxff_lgvdw,798.99,19.935945,1
AtomicPairStyle_reaxff_noqeq,629.048,16.655917,1
AtomicPairStyle_reaxff_tabulate,812.973,20.444231,1
AtomicPairStyle_reaxff_tabulate_flag,702.667,18.313694,1
AtomicPairStyle_smatb,510.109,10.915668,1
AtomicPairStyle_smatb_same,703.162,13.115975,1
AtomicPairStyle_smatb_single,824.677,12.832945,1
AtomicPairStyle_sw_angle_table,905.009,13.601073,1
AtomicPairStyle_table_bitmap,977.475,15.835813,1
AtomicPairStyle_table_linear,1077.279,16.140828,1
AtomicPairStyle_table_lookup,969.231,14.730502,1
AtomicPairStyle_table_spline,815.927,13.619367,1
AtomicPairStyle_threebody_table,908.001,15.160527,1
AtomicPairStyle_yukawa_colloid,2333.612,29.083042,1
BondStyle_class2,1028.47,14.213123,1
BondStyle_fene,991.114,14.590903,1
BondStyle_fene_expand,872.526,14.042558,1
BondStyle_fene_nm,760.017,13.004799,1
BondStyle_gaussian,1383.639,19.603596,1
BondStyle_gromos,1443.808,22.037029,1
BondStyle_harmonic,2457.526,29.574857,1
BondStyle_harmonic_restrain,297.607,10.841561,1
BondStyle_harmonic_shift,532.151,15.18648,1
BondStyle_harmonic_shift_cut,549.907,15.363077,1
BondStyle_hybrid,504.805,14.892403,1
BondStyle_lepton,571.782,16.060344,1
BondStyle_lepton_nooffset,714.001,18.896842,1
BondStyle_mm3,505.921,18.047608,1
BondStyle_morse,443.068,13.717637,1
BondStyle_nonlinear,701.097,18.706052,1
BondStyle_quartic,813.213,20.461571,1
BondStyle_table_linear,945.89,23.913059,1
BondStyle_table_spline,214.274,9.005721,1
BondStyle_zero,785.663,20.067103,1
ComputeChunk,124.447,6.87059,1
ComputeGlobal,120.291,6.822027,1
DeleteAtoms,108.522,6.630892,1
DihedralStyle_charmm,125.923,6.936426,1
DihedralStyle_charmmfsw,124.072,6.892193,1
DihedralStyle_class2,128.625,6.970313,1
DihedralStyle_cosine_shift_exp,133.88,7.117856,1
DihedralStyle_cosine_squared_restricted,121.041,6.883703,1
DihedralStyle_fourier,134.932,7.083236,1
DihedralStyle_harmonic,122.363,6.907514,1
DihedralStyle_helix,126.455,6.935326,1
DihedralStyle_hybrid,138.01,7.152625,1
DihedralStyle_lepton,331.25,11.049547,1
DihedralStyle_multi_harmonic,124.194,6.883433,1
DihedralStyle_nharmonic,126.058,6.938195,1
DihedralStyle_opls,122.391,6.920399,1
DihedralStyle_quadratic,123.811,6.906811,1
DihedralStyle_spherical,117.741,6.850462,1
DihedralStyle_table_cut_linear,132.408,7.079101,1
DihedralStyle_table_cut_spline,134.218,7.093625,1
DihedralStyle_table_linear,131.355,7.407335,1
DihedralStyle_table_spline,151.048,7.664401,1
DihedralStyle_zero,114.236,6.779594,1
DumpAtom,139.293,7.516579,1
DumpAtomGZ,131.791,7.02712,1
DumpAtomZstd,137.633,7.091654,1
DumpCfg,114.193,6.690145,1
DumpCfgGZ,123.205,6.856784,1
DumpCfgZstd,122.899,6.874574,1
DumpCustom,120.242,6.82312,1
DumpCustomGZ,123.529,6.909898,1
DumpCustomZstd,129.626,6.960812,1
DumpLocal,114.333,6.78025,1
DumpLocalGZ,123.283,6.87656,1
DumpLocalZstd,123.92,6.8848,1
DumpXYZGZ,115.002,6.766036,1
DumpXYZZstd,114.556,6.763559,1
EIMPotentialFileReader,112.901,6.735106,1
ErrorClass,111.404,6.698254,1
ErrorStats,34.71,5.679047,1
FFT3D,202.768,8.996137,1
FFT3D_MPI_2proc,235.448,9.485231,1
FFT3D_MPI_4proc,384.717,13.224492,1
FileOperations,117.066,6.773737,1
FixTimestep_adapt_coul,122.816,6.884437,1
FixTimestep_adapt_hybrid,114.219,6.72832,1
FixTimestep_adapt_pair,118.005,6.805334,1
FixTimestep_addforce_const,115.202,6.74541,1
FixTimestep_addforce_variable,114.216,6.754453,1
FixTimestep_addtorque_const,114.771,6.794744,1
