Method,Coverage Target (%),Energy Savings Mean (%),Energy Savings Median (%),Energy Savings p10 (%),Energy Savings p90 (%),n
ENACT,80,94.13373824673029,99.81352598091198,94.2681389183457,99.93636691410393,1257
ENACT,90,93.41677942862495,99.70816702014847,87.7136564156946,99.93490880169672,1257
ENACT,95,92.02226281034056,99.51283085896075,76.46744326617178,99.93490880169672,1257
Random,80,61.06803507239258,57.299915394132206,32.17215339342523,99.8243550194415,1192
Random,90,51.204746439175025,45.18223170731705,24.81562062566275,94.66346887592789,1192
Random,95,44.76364007418049,40.38114065040648,18.656205514316,83.91231210675151,1186
Random,100,38.65320058484073,31.797484128667367,9.391119335454198,83.91231210675151,1174
Greedy (cov/s),80,99.61605212996506,99.86972905620361,99.3277879109226,99.94110021208908,1192
Greedy (cov/s),90,99.37687241027137,99.83795121951219,98.94785524920466,99.94110021208908,1192
Greedy (cov/s),95,99.21461110981959,99.81287009544009,98.4111558854719,99.94102730646873,1186
Greedy (cov/s),100,98.7718349666059,99.75715005302226,97.70355673382821,99.94110021208908,1174
Greedy (cov/J),80,99.64740427612148,99.86972905620361,99.28674390243903,99.9419835630965,1192
Greedy (cov/J),90,99.43706643307807,99.83795121951219,99.07294538706257,99.9419835630965,1192
Greedy (cov/J),95,99.21825817687443,99.80317179215271,98.4136410392365,99.94110021208908,1186
Greedy (cov/J),100,98.7705962692917,99.75984623541888,97.70879374337221,99.94171855779427,1174
