run_id,pr_number,changed_lines_mapped,coverable_changed_lines,max_change_cov,pareto_points,status,energy_j_at_80pct,suite_size_at_80pct,energy_j_at_90pct,suite_size_at_90pct,energy_j_at_95pct,suite_size_at_95pct
20116243111,154,0,0,0.0,0,skip_no_changed_lines,,,,,,
20115724157,4805,10,10,1.0,1,ok,7010.093,57.0,7010.093,57.0,7010.093,57.0
20113993054,4805,10,10,1.0,1,ok,7010.093,57.0,7010.093,57.0,7010.093,57.0
20112348005,4805,10,10,1.0,1,ok,7010.093,57.0,7010.093,57.0,7010.093,57.0
20111777977,154,0,0,0.0,0,skip_no_changed_lines,,,,,,
20108681550,4805,10,10,1.0,1,ok,7010.093,57.0,7010.093,57.0,7010.093,57.0
20108008806,4789,178,178,1.0,2,ok,9033.844,63.0,9033.844,63.0,9033.844,63.0
20105555840,4789,178,178,1.0,2,ok,9033.844,63.0,9033.844,63.0,9033.844,63.0
20101180540,4789,178,178,1.0,2,ok,9033.844,63.0,9033.844,63.0,9033.844,63.0
20096818422,4779,8,8,1.0,2,ok,4912.919,41.0,4912.919,41.0,4912.919,41.0
20096541647,4805,10,10,1.0,1,ok,7010.093,57.0,7010.093,57.0,7010.093,57.0
20086124292,4805,10,10,1.0,1,ok,7010.093,57.0,7010.093,57.0,7010.093,57.0
20085346258,154,0,0,0.0,0,skip_no_changed_lines,,,,,,
20083088236,4805,10,10,1.0,1,ok,7010.093,57.0,7010.093,57.0,7010.093,57.0
20082933480,4802,0,0,0.0,0,skip_no_changed_lines,,,,,,
20082921553,154,0,0,0.0,0,skip_no_changed_lines,,,,,,
20082662048,154,0,0,0.0,0,skip_no_changed_lines,,,,,,
20082275622,154,0,0,0.0,0,skip_no_changed_lines,,,,,,
20080840527,154,0,0,0.0,0,skip_no_changed_lines,,,,,,
20079448519,4800,43,43,1.0,2,ok,9860.869,68.0,9860.869,68.0,9860.869,68.0
20079159778,154,0,0,0.0,0,skip_no_changed_lines,,,,,,
20072137035,4800,43,43,1.0,2,ok,9860.869,68.0,9860.869,68.0,9860.869,68.0
20072125825,154,0,0,0.0,0,skip_no_changed_lines,,,,,,
20070072810,3899,0,0,0.0,0,skip_no_changed_lines,,,,,,
20068399094,4779,8,8,1.0,2,ok,4912.919,41.0,4912.919,41.0,4912.919,41.0
20068392273,4800,43,43,1.0,2,ok,9860.869,68.0,9860.869,68.0,9860.869,68.0
20067826273,4789,178,178,1.0,2,ok,9033.844,63.0,9033.844,63.0,9033.844,63.0
20053007984,4779,8,8,1.0,2,ok,4912.919,41.0,4912.919,41.0,4912.919,41.0
20046677145,4779,8,8,1.0,2,ok,4912.919,41.0,4912.919,41.0,4912.919,41.0
20046654863,4800,43,43,1.0,2,ok,9860.869,68.0,9860.869,68.0,9860.869,68.0
20016352659,4800,43,43,1.0,2,ok,9860.869,68.0,9860.869,68.0,9860.869,68.0
20010857058,4802,0,0,0.0,0,skip_no_changed_lines,,,,,,
20010574938,4802,0,0,0.0,0,skip_no_changed_lines,,,,,,
20009911083,4800,43,43,1.0,2,ok,9860.869,68.0,9860.869,68.0,9860.869,68.0
20009899438,4792,0,0,0.0,0,skip_no_changed_lines,,,,,,
20008925494,3764,97,97,1.0,2,ok,6157.237999999999,51.0,6157.237999999999,51.0,6208.843,51.0
20008238894,3764,97,97,1.0,2,ok,6157.237999999999,51.0,6157.237999999999,51.0,6208.843,51.0
19995486174,4800,43,43,1.0,2,ok,9860.869,68.0,9860.869,68.0,9860.869,68.0
19992523114,4800,43,43,1.0,2,ok,9860.869,68.0,9860.869,68.0,9860.869,68.0
19989934682,4792,0,0,0.0,0,skip_no_changed_lines,,,,,,
19989228464,3899,0,0,0.0,0,skip_no_changed_lines,,,,,,
19987688104,3899,0,0,0.0,0,skip_no_changed_lines,,,,,,
19979721653,4796,23,23,1.0,2,ok,7978.109,60.0,7978.109,60.0,8104.07,61.0
19978563327,4779,8,8,1.0,2,ok,4912.919,41.0,4912.919,41.0,4912.919,41.0
19978147220,4800,43,43,1.0,2,ok,9860.869,68.0,9860.869,68.0,9860.869,68.0
19978093161,154,0,0,0.0,0,skip_no_changed_lines,,,,,,
19975023486,4590,0,0,0.0,0,skip_no_changed_lines,,,,,,
19974153720,3261,67,67,1.0,1,ok,7170.358,51.0,7170.358,51.0,7170.358,51.0
19973557086,4796,23,23,1.0,2,ok,7978.109,60.0,7978.109,60.0,8104.07,61.0
19971765205,4796,23,23,1.0,2,ok,7978.109,60.0,7978.109,60.0,8104.07,61.0
19970486234,4779,8,8,1.0,2,ok,4912.919,41.0,4912.919,41.0,4912.919,41.0
19970461036,4800,43,43,1.0,2,ok,9860.869,68.0,9860.869,68.0,9860.869,68.0
19969863707,4796,23,23,1.0,2,ok,7978.109,60.0,7978.109,60.0,8104.07,61.0
19961184972,4800,43,43,1.0,2,ok,9860.869,68.0,9860.869,68.0,9860.869,68.0
19950428308,4779,8,8,1.0,2,ok,4912.919,41.0,4912.919,41.0,4912.919,41.0
19950423185,4793,104,104,1.0,7,ok,7639.516,59.0,7639.516,59.0,7761.906,60.0
19946720794,4800,43,43,1.0,2,ok,9860.869,68.0,9860.869,68.0,9860.869,68.0
19945421606,4796,23,23,1.0,2,ok,7978.109,60.0,7978.109,60.0,8104.07,61.0
19941575306,4796,23,23,1.0,2,ok,7978.109,60.0,7978.109,60.0,8104.07,61.0
19941289236,4800,43,43,1.0,2,ok,9860.869,68.0,9860.869,68.0,9860.869,68.0
19940860326,4796,23,23,1.0,2,ok,7978.109,60.0,7978.109,60.0,8104.07,61.0
19940246888,4795,0,0,0.0,0,skip_no_changed_lines,,,,,,
19939968997,4796,23,23,1.0,2,ok,7978.109,60.0,7978.109,60.0,8104.07,61.0
19939701947,154,0,0,0.0,0,skip_no_changed_lines,,,,,,
19937533286,4795,0,0,0.0,0,skip_no_changed_lines,,,,,,
19935823236,154,0,0,0.0,0,skip_no_changed_lines,,,,,,
19934366200,4736,99,99,1.0,3,ok,5980.367,48.0,5980.367,48.0,5980.367,48.0
19899594727,4789,178,178,1.0,2,ok,9033.844,63.0,9033.844,63.0,9033.844,63.0
19899188875,4789,178,178,1.0,2,ok,9033.844,63.0,9033.844,63.0,9033.844,63.0
19897579963,4789,178,178,1.0,2,ok,9033.844,63.0,9033.844,63.0,9033.844,63.0
19880185685,4795,0,0,0.0,0,skip_no_changed_lines,,,,,,
19879808423,4796,23,23,1.0,2,ok,7978.109,60.0,7978.109,60.0,8104.07,61.0
19877122830,4736,99,99,1.0,3,ok,5980.367,48.0,5980.367,48.0,5980.367,48.0
19868214948,4796,23,23,1.0,2,ok,7978.109,60.0,7978.109,60.0,8104.07,61.0
19867009140,154,0,0,0.0,0,skip_no_changed_lines,,,,,,
19864776231,4791,67,67,1.0,1,ok,6957.358,55.0,6957.358,55.0,6957.358,55.0
19840961922,4795,0,0,0.0,0,skip_no_changed_lines,,,,,,
19840305549,4791,67,67,1.0,1,ok,6957.358,55.0,6957.358,55.0,6957.358,55.0
19839859625,4796,23,23,1.0,2,ok,7978.109,60.0,7978.109,60.0,8104.07,61.0
19826829974,4789,178,178,1.0,2,ok,9033.844,63.0,9033.844,63.0,9033.844,63.0
19806926639,4793,104,104,1.0,7,ok,7639.516,59.0,7639.516,59.0,7761.906,60.0
19793025843,4793,104,104,1.0,7,ok,7639.516,59.0,7639.516,59.0,7761.906,60.0
19792589320,4791,67,67,1.0,1,ok,6957.358,55.0,6957.358,55.0,6957.358,55.0
19790019793,4791,67,67,1.0,1,ok,6957.358,55.0,6957.358,55.0,6957.358,55.0
19788245264,4795,0,0,0.0,0,skip_no_changed_lines,,,,,,
19785409951,4791,67,67,1.0,1,ok,6957.358,55.0,6957.358,55.0,6957.358,55.0
19778214065,4795,0,0,0.0,0,skip_no_changed_lines,,,,,,
19777577176,4791,67,67,1.0,1,ok,6957.358,55.0,6957.358,55.0,6957.358,55.0
19776277424,4796,23,23,1.0,2,ok,7978.109,60.0,7978.109,60.0,8104.07,61.0
19775530717,4796,23,23,1.0,2,ok,7978.109,60.0,7978.109,60.0,8104.07,61.0
19775007844,4795,0,0,0.0,0,skip_no_changed_lines,,,,,,
19773456590,4795,0,0,0.0,0,skip_no_changed_lines,,,,,,
19769230300,4791,67,67,1.0,1,ok,6957.358,55.0,6957.358,55.0,6957.358,55.0
19755364305,4791,67,67,1.0,1,ok,6957.358,55.0,6957.358,55.0,6957.358,55.0
19754932813,4793,104,104,1.0,7,ok,7639.516,59.0,7639.516,59.0,7761.906,60.0
19754428662,4791,67,67,1.0,1,ok,6957.358,55.0,6957.358,55.0,6957.358,55.0
19753220651,4736,99,99,1.0,3,ok,5980.367,48.0,5980.367,48.0,5980.367,48.0
19753042069,4791,67,67,1.0,1,ok,6957.358,55.0,6957.358,55.0,6957.358,55.0
19750606848,4736,99,99,1.0,3,ok,5980.367,48.0,5980.367,48.0,5980.367,48.0
19750317585,4791,67,67,1.0,1,ok,6957.358,55.0,6957.358,55.0,6957.358,55.0
19749645231,4793,104,104,1.0,7,ok,7639.516,59.0,7639.516,59.0,7761.906,60.0
19743936958,4805,10,10,1.0,1,ok,7010.093,57.0,7010.093,57.0,7010.093,57.0
19743857794,4791,67,67,1.0,1,ok,6957.358,55.0,6957.358,55.0,6957.358,55.0
19743542587,4792,0,0,0.0,0,skip_no_changed_lines,,,,,,
19742332114,4792,0,0,0.0,0,skip_no_changed_lines,,,,,,
19738515964,4792,0,0,0.0,0,skip_no_changed_lines,,,,,,
