test,start_iso,end_iso,wall_s,user_s,sys_s,maxrss_kb,energy_kwh,energy_wh,energy_j,energy_mj,emissions_kg,rc,notes
InvalidFlag,2025-12-18T07:27:57.402687,2025-12-18T07:28:06.570882,9.168100,1.758163,3.932937,113888,0.000104116,0.104116,374.818,374818.3,0.000014446,0,
Tokenizer,2025-12-18T07:29:42.272798,2025-12-18T07:29:48.136413,5.863518,1.851071,5.073768,103680,0.000012122,0.012122,43.640,43640.2,0.000001682,0,
MemPool,2025-12-18T07:31:12.740957,2025-12-18T07:31:18.831058,6.089991,1.842265,4.233168,103680,0.000012751,0.012751,45.904,45903.7,0.000001769,0,
LmpType,2025-12-18T07:32:50.815403,2025-12-18T07:32:56.501353,5.685871,1.019921,0.342417,101120,0.000009517,0.009517,34.261,34260.6,0.000001320,0,
ArgUtils,2025-12-18T07:32:58.279607,2025-12-18T07:33:04.150569,5.870886,1.937618,5.167622,103680,0.000012700,0.012700,45.721,45721.2,0.000001762,0,
Utils,2025-12-18T07:34:36.124867,2025-12-18T07:34:42.098396,5.973433,1.755978,4.146686,98560,0.000012813,0.012813,46.126,46125.6,0.000001778,0,
Platform,2025-12-18T07:36:18.564284,2025-12-18T07:36:24.836637,6.272257,2.335329,5.038290,97280,0.000019080,0.019080,68.686,68686.5,0.000002647,0,
Lepton,2025-12-18T07:38:05.092380,2025-12-18T07:38:12.727925,7.635429,1.889668,2.040408,127984,0.000037979,0.037979,136.725,136724.8,0.000005270,0,
FmtLib,2025-12-18T07:39:53.387092,2025-12-18T07:39:59.347810,5.960618,1.746584,3.837334,104960,0.000011999,0.011999,43.198,43197.9,0.000001665,0,
JSON,2025-12-18T07:41:39.214703,2025-12-18T07:41:44.947192,5.732392,1.047946,0.345350,103680,0.000009533,0.009533,34.319,34319.2,0.000001323,0,
MathEigen,2025-12-18T07:41:47.503682,2025-12-18T07:41:53.214199,5.710427,1.064135,0.332393,101120,0.000009522,0.009522,34.278,34278.1,0.000001321,0,
FFT3D,2025-12-18T07:41:55.208848,2025-12-18T07:42:04.205058,8.996137,3.275526,2.363815,252216,0.000056324,0.056324,202.768,202768.1,0.000007815,0,
FFT3D_MPI_2proc,2025-12-18T07:43:42.783450,2025-12-18T07:43:52.268761,9.485231,5.914621,1.984886,289224,0.000065402,0.065402,235.448,235448.5,0.000009075,0,
FFT3D_MPI_4proc,2025-12-18T07:45:25.510684,2025-12-18T07:45:38.735257,13.224492,18.877651,16.453740,265464,0.000106866,0.106866,384.717,384716.8,0.000014828,0,
AtomStyles,2025-12-18T07:47:27.984566,2025-12-18T07:47:37.566065,9.581422,2.113306,2.820071,127964,0.000062677,0.062677,225.637,225636.9,0.000008696,0,
ImageFlags,2025-12-18T07:49:30.326415,2025-12-18T07:49:39.917529,9.591003,1.612533,3.616897,129268,0.000056036,0.056036,201.728,201728.3,0.000007775,0,
InputConvert,2025-12-18T07:51:29.513964,2025-12-18T07:51:38.913985,9.399950,1.545187,3.274366,130488,0.000059961,0.059961,215.858,215858.0,0.000008320,0,
MoleculeFile,2025-12-18T07:53:11.749456,2025-12-18T07:53:18.649135,6.899584,1.562529,1.540138,127972,0.000034100,0.034100,122.762,122761.5,0.000004731,0,
PairUnitConvert,2025-12-18T07:54:53.898456,2025-12-18T07:55:01.647906,7.749375,2.585668,1.468057,140220,0.000043537,0.043537,156.733,156733.5,0.000006041,0,
PotentialFileReader,2025-12-18T07:56:48.049658,2025-12-18T07:56:54.939695,6.889967,1.639613,1.532309,133108,0.000034241,0.034241,123.267,123267.3,0.000004751,0,
EIMPotentialFileReader,2025-12-18T07:58:39.334762,2025-12-18T07:58:46.069988,6.735106,1.558302,1.728557,131792,0.000031361,0.031361,112.901,112901.1,0.000004351,0,
TextFileReader,2025-12-18T08:00:43.942998,2025-12-18T08:00:50.628426,6.685324,1.399355,1.586801,131776,0.000031033,0.031033,111.718,111718.2,0.000004306,0,
FileOperations,2025-12-18T08:02:44.055738,2025-12-18T08:02:50.829571,6.773737,1.631082,1.691989,131800,0.000032518,0.032518,117.066,117065.7,0.000004512,0,
DumpAtom,2025-12-18T08:04:52.483351,2025-12-18T08:05:00.000033,7.516579,2.218782,1.796013,131776,0.000038693,0.038693,139.293,139293.2,0.000005369,0,
DumpAtomGZ,2025-12-18T08:07:06.424350,2025-12-18T08:07:13.451572,7.027120,1.711628,1.762424,131768,0.000036609,0.036609,131.791,131791.4,0.000005079,0,
DumpCustomGZ,2025-12-18T08:09:20.946001,2025-12-18T08:09:27.856046,6.909898,1.697179,1.693656,133052,0.000034313,0.034313,123.529,123528.5,0.000004761,0,
DumpCfgGZ,2025-12-18T08:11:30.726875,2025-12-18T08:11:37.583741,6.856784,1.541944,1.586272,133044,0.000034224,0.034224,123.205,123204.7,0.000004749,0,
DumpLocalGZ,2025-12-18T08:13:50.850836,2025-12-18T08:13:57.727502,6.876560,1.650231,1.684243,131776,0.000034245,0.034245,123.283,123283.2,0.000004752,0,
DumpXYZGZ,2025-12-18T08:16:05.343334,2025-12-18T08:16:12.109448,6.766036,1.526664,1.510094,133048,0.000031945,0.031945,115.002,115001.6,0.000004432,0,
DumpAtomZstd,2025-12-18T08:18:15.793146,2025-12-18T08:18:22.884952,7.091654,1.756507,1.841377,131768,0.000038231,0.038231,137.633,137633.0,0.000005305,0,
DumpCustomZstd,2025-12-18T08:20:32.373685,2025-12-18T08:20:39.334577,6.960812,1.599488,1.740289,133060,0.000036007,0.036007,129.626,129626.3,0.000004996,0,
DumpCfgZstd,2025-12-18T08:22:52.865273,2025-12-18T08:22:59.739917,6.874574,1.526117,1.631063,133108,0.000034139,0.034139,122.899,122899.1,0.000004737,0,
DumpLocalZstd,2025-12-18T08:25:00.685195,2025-12-18T08:25:07.570096,6.884800,1.720681,1.655251,131776,0.000034422,0.034422,123.920,123920.1,0.000004776,0,
DumpXYZZstd,2025-12-18T08:27:09.336331,2025-12-18T08:27:16.099964,6.763559,1.492824,1.510280,131824,0.000031821,0.031821,114.556,114556.4,0.000004415,0,
DumpCustom,2025-12-18T08:29:25.249840,2025-12-18T08:29:32.073021,6.823120,1.623161,1.547648,133048,0.000033401,0.033401,120.242,120242.3,0.000004634,0,
DumpCfg,2025-12-18T08:31:47.342364,2025-12-18T08:31:54.032591,6.690145,1.452017,1.537190,133100,0.000031720,0.031720,114.193,114193.0,0.000004401,0,
DumpLocal,2025-12-18T08:33:56.934406,2025-12-18T08:34:03.714730,6.780250,1.580341,1.452169,133096,0.000031759,0.031759,114.333,114333.2,0.000004407,0,
