file,lines_total,lines_hit_any
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/Assign.h,6,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/AssignEvaluator.h,106,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/Block.h,47,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/CommaInitializer.h,23,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/CoreEvaluators.h,114,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/CwiseBinaryOp.h,17,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/CwiseNullaryOp.h,27,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/CwiseUnaryOp.h,6,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/DenseBase.h,25,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/DenseCoeffsBase.h,31,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/DenseStorage.h,17,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/Diagonal.h,15,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/DiagonalMatrix.h,16,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/DiagonalProduct.h,2,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/Dot.h,9,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/EigenBase.h,10,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/GeneralProduct.h,4,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/GenericPacketMath.h,47,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/IO.h,60,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/Inverse.h,6,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/Map.h,10,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/MapBase.h,15,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/MathFunctions.h,28,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/MathFunctionsImpl.h,11,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/Matrix.h,40,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/MatrixBase.h,4,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/NumTraits.h,7,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/PlainObjectBase.h,75,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/Product.h,7,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/ProductEvaluators.h,67,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/Redux.h,36,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/SelfCwiseBinaryOp.h,6,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/SolverBase.h,4,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/Stride.h,8,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/Swap.h,13,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/Transpose.h,22,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/TriangularMatrix.h,58,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/VectorBlock.h,3,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/Visitor.h,54,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/arch/Default/ConjHelper.h,3,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/arch/SSE/MathFunctions.h,1,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/arch/SSE/PacketMath.h,29,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/functors/AssignmentFunctors.h,24,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/functors/BinaryFunctors.h,35,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/functors/NullaryFunctors.h,6,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/functors/UnaryFunctors.h,12,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/util/BlasUtil.h,3,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/util/IndexedViewHelper.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/util/IntegralConstant.h,3,2
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/util/Macros.h,1,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/util/Meta.h,2,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/util/SymbolicIndex.h,6,6
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Core/util/XprHelper.h,6,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Eigenvalues/SelfAdjointEigenSolver.h,110,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Eigenvalues/Tridiagonalization.h,29,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Geometry/OrthoMethods.h,7,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Geometry/Quaternion.h,34,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Geometry/RotationBase.h,1,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/Jacobi/Jacobi.h,88,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/LU/Determinant.h,10,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/LU/InverseImpl.h,37,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/SVD/JacobiSVD.h,88,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/SVD/SVDBase.h,22,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/misc/RealSvd2x2.h,18,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/plugins/BlockMethods.h,14,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/plugins/CommonCwiseBinaryOps.h,6,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/plugins/CommonCwiseUnaryOps.h,1,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/plugins/MatrixCwiseBinaryOps.h,2,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/Eigen3_build-prefix/src/Eigen3_build/Eigen/src/plugins/MatrixCwiseUnaryOps.h,2,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/_deps/googletest-src/googlemock/include/gmock/gmock-matchers.h,144,61
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/_deps/googletest-src/googlemock/include/gmock/gmock-more-matchers.h,9,5
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/_deps/googletest-src/googletest/include/gtest/gtest-assertion-result.h,13,3
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/_deps/googletest-src/googletest/include/gtest/gtest-matchers.h,156,109
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/_deps/googletest-src/googletest/include/gtest/gtest-message.h,8,7
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/_deps/googletest-src/googletest/include/gtest/gtest-printers.h,116,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/_deps/googletest-src/googletest/include/gtest/gtest-test-part.h,11,11
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/_deps/googletest-src/googletest/include/gtest/gtest.h,49,27
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/_deps/googletest-src/googletest/include/gtest/internal/gtest-death-test-internal.h,4,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/_deps/googletest-src/googletest/include/gtest/internal/gtest-internal.h,41,36
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/_deps/googletest-src/googletest/include/gtest/internal/gtest-port.h,9,3
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/_deps/googletest-src/googletest/include/gtest/internal/gtest-type-util.h,22,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/lammps-user-pace-v.2023.11.25.fix2/ML-PACE/ace-evaluator/ace_abstract_basis.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/lammps-user-pace-v.2023.11.25.fix2/ML-PACE/ace-evaluator/ace_array2dlm.h,42,38
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/lammps-user-pace-v.2023.11.25.fix2/ML-PACE/ace-evaluator/ace_arraynd.h,40,35
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/lammps-user-pace-v.2023.11.25.fix2/ML-PACE/ace-evaluator/ace_c_basis.h,1,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/lammps-user-pace-v.2023.11.25.fix2/ML-PACE/ace-evaluator/ace_contigous_array.h,18,13
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/lammps-user-pace-v.2023.11.25.fix2/ML-PACE/ace-evaluator/ace_evaluator.h,5,2
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/lammps-user-pace-v.2023.11.25.fix2/ML-PACE/ace-evaluator/ace_flatten_basis.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/lammps-user-pace-v.2023.11.25.fix2/ML-PACE/ace-evaluator/ace_recursive.h,2,2
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/lammps-user-pace-v.2023.11.25.fix2/ML-PACE/ace-evaluator/ace_spherical_cart.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/lammps-user-pace-v.2023.11.25.fix2/ML-PACE/ace-evaluator/ace_timing.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/lammps-user-pace-v.2023.11.25.fix2/ML-PACE/ace/ace_b_basis.h,1,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/lammps-user-pace-v.2023.11.25.fix2/ML-PACE/ace/ace_b_evaluator.h,2,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/styles/lmpgitversion.h,4,4
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/voro_build-prefix/src/voro_build/src/c_loops.hh,26,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/build_cov_bigbig/voro_build-prefix/src/voro_build/src/container.hh,4,0
